masterid,irrLoss2100_m2,irr2015_m2,currentIrr20152017_m2
20203,202596352.94117647,247971282.35294124,487548998.8235295
20109,19603665.88235294,89655208.23529412,185401754.11764705
20063,15659100,117371795.29411764,221049172.94117647
20193,323737623.52941173,440985098.82352936,682667985.882353
20179,317647235.2941177,334084224.7058824,511036150.5882353
20199,109655731.7647059,176800369.4117647,276891642.35294116
20181,280236709.41176474,432546236.4705882,592478717.6470587
08063,459367602.35294116,558980671.7647059,877939305.8823527
20071,46341342.352941185,98262469.41176471,215098838.82352942
56031,3115743.529411765,227897689.41176468,288459988.2352941
56015,59220257.64705882,348746703.5294118,448741722.3529412
31157,117964867.05882351,516793072.9411766,715095907.0588231
31007,17716316.470588237,76433265.88235295,113588340
56021,34444715.294117644,124018270.58823529,185014404.70588237
08121,33507702.352941174,174032456.47058824,300899876.4705882
08087,NA,425909509.41176474,551526585.8823528
08075,8733600,415534877.64705884,495719848.2352941
31105,10947656.470588235,94621125.88235293,138375045.88235295
31123,92172356.47058825,431750668.2352941,525133895.2941176
31033,34915492.941176474,163760265.88235298,255356481.17647058
31069,14124850.588235293,135210808.2352941,173871264.70588234
08115,5727268.235294118,165959269.41176468,201228176.4705883
31049,33414303.529411763,76577805.88235295,112954937.64705883
08095,96241147.05882353,282518668.2352941,344892892.9411764
08125,335666887.05882347,1046764108.2352941,1238547275.2941177
31057,160095840,424706562.3529413,529904618.82352954
31029,7651044.705882353,701668524.7058823,807150691.7647059
31135,35354417.64705882,613342785.882353,724080218.8235294
31085,9967048.235294119,266030040,304171503.5294118
20023,72190549.41176471,208400710.58823532,317089083.5294118
20153,9009900,107206591.7647059,214541925.88235295
31087,58837408.23529412,122023743.52941176,200721137.6470588
20039,11670300,98568169.41176471,221458567.05882356
31145,98256282.35294119,258195374.11764708,361337975.2941176
31063,9594345.88235294,341599125.882353,423124090.5882354
31111,4625100,1041388944.7058823,1163035771.764706
31113,NA,142024344.70588234,156561211.76470587
31117,NA,41155665.882352956,52887412.94117648
31101,19771312.94117647,443383884.7058823,542473535.2941177
31005,NA,31819475.29411765,43827441.17647059
31075,NA,5433857.647058824,11485521.176470589
31091,NA,7205650.588235294,10054514.11764706
31171,NA,7622841.176470589,10753489.411764707
31031,14022900,196383042.35294113,247563592.9411764
46121,3752100,88798210.5882353,111821477.64705881
46007,NA,82962102.35294119,135318970.58823532
31161,5711400,263629161.17647058,351826270.58823526
31013,12597300,468144621.1764705,618594289.4117645
31103,1250100,96083992.94117647,127870429.41176468
31017,NA,240897942.3529412,262370280
31149,NA,202433382.35294116,231036458.82352942
31003,820800,1382342212.9411757,1454707432.9411755
31139,7095942.352941176,922583802.3529407,969012705.8823524
31179,155294558.82352942,736068776.4705884,750393921.1764708
31119,13095116.470588235,924562020.0000001,994742421.1764704
31167,112255316.47058824,364863804.70588225,525039211.7647058
31037,125386489.41176471,431175437.64705884,632744887.0588236
31141,131936068.23529412,1229152634.1176472,1285303764.7058825
31125,2622084.705882353,520579422.3529415,551757084.7058827
31143,882e3,862348941.1764704,879930924.7058824
31121,62100,772679523.5294108,797002362.35294
31185,8580600,1230064884.7058797,1262850232.9411728
31053,179895321.17647055,783553171.764706,974239976.4705882
31039,103803060.00000003,665551016.4705884,922117323.5294119
31151,60054811.764705785,619163985.8823527,904038490.5882353
31059,61200,1148254034.1176465,1224977396.470588
31129,139571947.0588235,615501776.4705881,755876491.7647057
31035,108900,1056763535.294117,1098990204.7058816
31181,128567424.70588234,503703359.99999994,585622641.1764705
31061,27855497.647058822,539820836.4705883,607430837.647059
31083,63286034.11764705,460102665.88235277,557584750.588235
31001,42094941.17647059,1075442283.5294116,1116268443.5294116
31099,NA,1008379344.7058827,1065954268.2352945
31137,253800,1043924530.5882354,1082349554.1176472
31019,NA,1115929087.058823,1228500010.5882344
31079,1651041.1764705882,915680474.1176467,955203511.7647052
31081,NA,1137514087.0588226,1166104281.1764696
31093,177300,592896155.2941177,652387849.4117643
31077,NA,468087381.1764704,508399912.94117635
31011,NA,1089021254.1176457,1154005147.058822
31183,NA,249676436.4705882,283055943.5294117
31175,NA,398821200,463847784.7058824
31071,NA,73678249.41176471,85474934.11764705
