StateAbbrev,fips5,year,drylandAg,pasture,activeIrr_acres,cumLoss_drylandAg_acres,cumLoss_pasture_acres
KS,20055,2059,2709.485208728495,495.1106401264896,235581.5897488739,33157.32772486924,5158.920081398109
KS,20055,2060,2645.6196295012232,760.3884017434375,232175.58171762925,35802.94735437046,5919.308483141546
KS,20055,2061,3384.495668149532,462.8486526363404,228328.23739684338,39187.44302252,6382.157135777887
KS,20055,2062,3697.904112560253,503.5284254268607,224126.80485885625,42885.34713508025,6885.6855612047475
KS,20055,2063,3758.68920424227,612.4389702814884,219755.6766843325,46644.03633932252,7498.124531486235
KS,20055,2064,3248.476686040972,488.42708861817994,216018.77290967334,49892.51302536349,7986.551620104416
KS,20055,2065,2786.87982465231,527.1876808357081,212704.70540418534,52679.3928500158,8513.739300940124
KS,20055,2066,2482.9165349793393,636.9082499217636,209584.88061928423,55162.30938499514,9150.647550861888
KS,20055,2067,2555.2626635508086,515.8815653818216,206513.7363903516,57717.572048545946,9666.52911624371
KS,20055,2068,2783.661926312882,657.9885081659238,203072.08595587278,60501.23397485883,10324.517624409633
KS,20055,2069,2358.5732155565015,452.1973958681162,200261.31534444817,62859.80719041533,10776.715020277748
KS,20055,2070,2612.798924680721,472.22018330162234,197176.2962364658,65472.60611509605,11248.93520357937
KS,20055,2071,2553.1391469232467,376.7172731689136,194246.43981637366,68025.74526201929,11625.652476748284
KS,20055,2072,2402.0035991838895,475.8430665498825,191368.5931506399,70427.74886120319,12101.495543298168
KS,20055,2073,2504.3105170316903,513.3965069082758,188350.88612669992,72932.05937823487,12614.892050206443
KS,20055,2074,2715.06679185452,684.3279103599064,184951.49142448552,75647.1261700894,13299.21996056635
KS,20055,2075,2455.250613452387,713.6979600299014,181782.5428510032,78102.37678354178,14012.91792059625
KS,20055,2076,2486.3614304145412,592.3622349730649,178703.8191856156,80588.73821395633,14605.280155569315
KS,20055,2077,2074.6613855244946,591.0321241093436,176038.12567598175,82663.39959948082,15196.31227967866
KS,20055,2078,2353.950901841703,435.46087558123264,173248.7138985588,85017.35050132252,15631.773155259893
KS,20055,2079,2382.7161190854813,482.7844496684568,170383.2133298049,87400.066620408,16114.557604928348
KS,20055,2080,2223.4681867862346,388.8475614102469,167770.8975816084,89623.53480719424,16503.405166338594
KS,20055,2081,2608.838867670461,442.04323045821263,164720.01548347974,92232.3736748647,16945.448396796808
KS,20055,2082,2237.9954746843064,355.68696429569246,162126.33304449974,94470.369149549,17301.1353610925
KS,20055,2083,2392.123385803179,463.7087129004096,159270.50094579614,96862.49253535218,17764.84407399291
KS,20055,2084,2057.7492058733706,549.6320363526435,156663.11970357015,98920.24174122556,18314.476110345553
KS,20055,2085,2010.8614094266911,678.3121915904234,153973.94610255302,100931.10315065224,18992.788301935976
KS,20055,2086,2285.1563703680526,627.526217188407,151061.26351499656,103216.2595210203,19620.314519124386
KS,20055,2087,2056.7641560121383,569.0884285095023,148435.41093047493,105273.02367703244,20189.402947633887
KS,20055,2088,1969.7809332156685,665.6702651619395,145799.9597320973,107242.8046102481,20855.073212795825
KS,20055,2089,2202.777983226537,832.3257634673386,142764.85598540344,109445.58259347464,21687.398976263165
KS,20055,2090,1996.9057731309597,635.2801796258274,140132.67003264665,111442.4883666056,22322.679155888993
KS,20055,2091,1703.727273104715,555.4579780226845,137873.48478151925,113146.21563971032,22878.137133911678
KS,20055,2092,1553.7056473766067,568.9685543809898,135750.81057976166,114699.92128708692,23447.105688292668
