StateAbbrev,fips5,year,drylandAg,pasture,active,lossDrylandAg,lossPasture,currentIrr_20152017_acres,totalLostDrylandAg,totalLostPasture,percentLost_drylandAg,percentLost_pasture
TX,48069,2084,758.8965661389949,33.15608843402268,81767.4356357826,190095.13256150714,14398.163042280714,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2085,442.5555587415778,24.46885201771271,81300.41122502333,190537.68812024873,14422.631894298427,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2086,622.414378601135,6.7600497958056645,80671.23679662638,191160.10249884985,14429.391944094232,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2087,455.79904018221436,24.13003270895203,80191.30772373523,191615.9015390321,14453.521976803184,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2088,368.63755640583133,15.87355566430298,79806.79661166508,191984.5390954379,14469.395532467488,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2089,373.6777031572693,40.87257438544159,79392.24633412238,192358.21679859518,14510.26810685293,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2090,458.42970455306977,49.11170283114105,78884.70492673817,192816.64650314825,14559.379809684071,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2091,406.7496707184803,22.47217947357422,78455.48307654611,193223.39617386673,14581.851989157645,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2092,505.9388357633353,14.97009114455536,77934.57414963821,193729.33500963007,14596.8220803022,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2093,403.75144094802096,10.771160412391358,77520.05154827781,194133.0864505781,14607.593240714592,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2094,422.02419065316167,22.273184402373964,77075.75417322226,194555.11064123124,14629.866425116965,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2095,424.6742666269599,31.22980486887604,76619.85010172645,194979.7849078582,14661.09622998584,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2096,350.18865363924135,45.91435592898488,76223.74709215821,195329.97356149743,14707.010585914826,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2097,331.3552408177756,10.956566443032226,75881.4352848974,195661.32880231523,14717.967152357858,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2098,233.89624537849184,38.32708932817017,75609.21195019074,195895.2250476937,14756.294241686028,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2099,281.1921054575299,18.623103270207825,75309.39674146299,196176.41715315124,14774.917344956237,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48069,2100,376.25985450024444,24.09863382889679,74909.03825313385,196552.67700765148,14799.015978785133,286260.7312395705,196552.67700765148,14799.015978785133,0.686621165804112,0.05169768104309038
TX,48079,2018,1029.1936191340108,49.00049321382538,101113.56475619331,1029.1936191340108,49.00049321382538,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2019,1281.064406097045,11.446908791286623,99821.05344130498,2310.258025231056,60.447402005112004,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2020,892.4491222252406,32.200527119490054,98896.40379196024,3202.7071474562963,92.64792912460206,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2021,1188.7434614536435,54.7319534856955,97652.92837702091,4391.45060890994,147.37988261029756,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2022,947.3430269313343,22.377947737379763,96683.2074023522,5338.793635841274,169.75783034767733,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2023,1112.3302390479448,73.22491629241853,95497.65224701184,6451.123874889219,242.98274664009585,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2024,893.0882756567286,94.11920932228425,94510.44476203281,7344.212150545947,337.1019559623801,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2025,824.021622682508,88.75476509988862,93597.66837425042,8168.233773228456,425.8567210622687,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2026,862.3947514095206,43.61197625278412,92691.66164658812,9030.628524637976,469.46869731505285,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2027,825.0792432628926,36.04315856383789,91830.53924476138,9855.707767900869,505.51185587889074,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2028,924.2555403827124,80.14464351730744,90826.13906086137,10779.96330828358,585.6564993961981,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2029,884.1069730085995,69.15681348058777,89872.87527437219,11664.07028129218,654.813312876786,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2030,1023.0546831243571,53.19597311802826,88796.62461812979,12687.124964416538,708.0092859948141,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2031,1025.4873350223245,40.83986876274658,87730.29741434472,13712.612299438862,748.8491547575608,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2032,1139.093311684509,62.1533079930777,86529.05079466714,14851.70561112337,811.0024627506385,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2033,1010.3007878167548,64.48360812226746,85454.26639872811,15862.006398940126,875.4860708729059,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2034,890.3167555086109,65.81244355377258,84498.13719966574,16752.323154448735,941.2985144266785,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2035,708.2575741849539,62.121061529600226,83727.75856395118,17460.58072863369,1003.4195759562788,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2036,708.8879358877966,127.07588557032652,82891.79474249305,18169.468664521486,1130.4954615266054,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2037,707.3583393351337,25.197589944498706,82159.23881321342,18876.827003856622,1155.693051471104,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2038,769.4238724824199,47.33880078661011,81342.4761399444,19646.25087633904,1203.031852257714,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2039,684.0782681296854,85.8732070471228,80572.52466476758,20330.329144468727,1288.9050593048369,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2040,687.6831714485274,46.540164337224795,79838.30132898183,21018.012315917254,1335.4452236420616,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2041,600.311914011875,88.64820314996734,79149.34121181999,21618.32422992913,1424.093426792029,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2042,630.6176506694865,48.476059334333804,78470.24750181616,22248.941880598617,1472.5694861263628,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2043,602.3310428563364,71.2241298210495,77796.69232913878,22851.27292345495,1543.7936159474123,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2044,612.2589402071642,51.39947799063263,77133.03391094098,23463.531863662116,1595.193093938045,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2045,499.74646293546147,84.39597666239227,76548.89147134313,23963.278326597578,1679.5890706004373,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2046,399.17254808446654,70.8401190739209,76078.87880418474,24362.450874682043,1750.4291896743582,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2047,395.2610988387412,84.92413093208039,75598.69357441392,24757.711973520785,1835.3533206064385,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2048,581.6518801664276,79.10562277795039,74937.93607146954,25339.363853687213,1914.458943384389,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2049,542.4357190143894,93.21184047114258,74302.28851198402,25881.799572701602,2007.6707838555315,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2050,509.9313411410422,120.76339404178529,73671.5937768012,26391.730913842646,2128.4341778973167,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2051,430.5824435527538,169.9290779494433,73071.08225529898,26822.313357395396,2298.3632558467602,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2052,548.7716597809018,170.0156160346861,72352.2949794834,27371.0850171763,2468.3788718814462,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2053,319.2336002107779,160.01453660470247,71873.04684266791,27690.318617387078,2628.3934084861485,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2054,439.1464381348505,223.07069325537142,71210.82971127769,28129.465055521927,2851.46410174152,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2055,426.7349613557889,152.629675316015,70631.46507460589,28556.200016877716,3004.093777057535,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2056,530.3416888619321,165.00443110662417,69936.11895463734,29086.541705739648,3169.098208164159,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2057,359.07834005165955,121.53775766142304,69455.50285692426,29445.620045791307,3290.6359658255824,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2058,409.95403181800754,163.66093804696973,68881.88788705927,29855.574077609315,3454.296903872552,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2059,395.9216823699109,139.48582135074463,68346.48038333862,30251.49575997923,3593.7827252232964,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2060,475.5709056699692,204.15584108707398,67666.75363658158,30727.066665649196,3797.938566310371,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2061,380.32564068761815,139.45045966602356,67146.97753622793,31107.392306336817,3937.3890259763944,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2062,330.5745997296869,125.41463654059602,66690.98829995765,31437.9669060665,4062.8036625169902,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
TX,48079,2063,424.2513664635605,207.6980505555069,66059.03888293859,31862.218272530063,4270.501713072497,102191.75886854115,38268.196205822904,7234.261991328795,0.37447438648209275,0.07079105077969061
