state,Year,revenue,valueAdded,scenario
OK,2097,33060650.44,18513964.25,1
OK,2098,33361246.33,18682297.94,1
OK,2099,33666655.65,18853327.17,1
OK,2100,33959323.61,19017221.22,1
NM,2018,81783.30287,52341.31384,1
NM,2019,169108.0565,108229.1562,1
NM,2020,263444.281,168604.3398,1
NM,2021,342027.9718,218897.9019,1
NM,2022,428515.5566,274249.9562,1
NM,2023,513855.3913,328867.4504,1
NM,2024,599008.8329,383365.6531,1
NM,2025,681058.4176,435877.3873,1
NM,2026,756876.8423,484401.1791,1
NM,2027,840041.7273,537626.7055,1
NM,2028,914959.202,585573.8893,1
NM,2029,969548.9911,620511.3543,1
NM,2030,1019232.425,652308.7518,1
NM,2031,1064522.762,681294.5678,1
NM,2032,1107910.707,709062.8526,1
NM,2033,1159935.54,742358.7457,1
NM,2034,1206926.371,772432.8773,1
NM,2035,1237860.5,792230.7202,1
NM,2036,1282046.919,820510.0283,1
NM,2037,1320439.236,845081.1111,1
NM,2038,1365876.028,874160.658,1
NM,2039,1403364.416,898153.226,1
NM,2040,1445453.242,925090.075,1
NM,2041,1478468.061,946219.5592,1
NM,2042,1512526.949,968017.247,1
NM,2043,1546107.21,989508.6144,1
NM,2044,1578396.656,1010173.86,1
NM,2045,1614058.081,1032997.172,1
NM,2046,1642922.175,1051470.192,1
NM,2047,1680728.177,1075666.033,1
NM,2048,1707153.232,1092578.068,1
NM,2049,1738357.214,1112548.617,1
NM,2050,1776411.173,1136903.151,1
NM,2051,1807191.328,1156602.45,1
NM,2052,1845004.015,1180802.57,1
NM,2053,1875676.798,1200433.151,1
NM,2054,1904817.027,1219082.897,1
NM,2055,1938380.188,1240563.32,1
NM,2056,1963312.961,1256520.295,1
NM,2057,1989322.543,1273166.427,1
NM,2058,2009981.915,1286388.425,1
NM,2059,2035840.475,1302937.904,1
NM,2060,2073616.618,1327114.636,1
NM,2061,2098713.146,1343176.413,1
NM,2062,2127198.798,1361407.231,1
NM,2063,2162018.365,1383691.754,1
NM,2064,2183875.236,1397680.151,1
NM,2065,2211355.922,1415267.79,1
NM,2066,2244699.716,1436607.818,1
NM,2067,2264127.614,1449041.673,1
NM,2068,2279711.42,1459015.309,1
NM,2069,2307189.055,1476600.995,1
NM,2070,2322974.349,1486703.584,1
NM,2071,2340920.016,1498188.81,1
NM,2072,2367862.77,1515432.173,1
NM,2073,2391426.968,1530513.26,1
NM,2074,2403882.837,1538485.016,1
NM,2075,2420902.208,1549377.413,1
NM,2076,2435255.92,1558563.789,1
NM,2077,2449560.691,1567718.842,1
NM,2078,2474778.221,1583858.062,1
NM,2079,2491516.435,1594570.518,1
NM,2080,2507160.074,1604582.447,1
NM,2081,2518176.981,1611633.268,1
NM,2082,2529029.939,1618579.161,1
NM,2083,2543126.344,1627600.86,1
NM,2084,2551503.653,1632962.338,1
NM,2085,2564136.941,1641047.642,1
NM,2086,2576848.591,1649183.099,1
NM,2087,2586995.785,1655677.303,1
NM,2088,2591132.703,1658324.93,1
NM,2089,2606861.66,1668391.462,1
NM,2090,2622251.24,1678240.793,1
NM,2091,2630447.145,1683486.173,1
NM,2092,2644984.88,1692790.323,1
NM,2093,2654202.056,1698689.316,1
NM,2094,2669996.597,1708797.822,1
NM,2095,2687011.731,1719687.508,1
NM,2096,2700983.837,1728629.656,1
NM,2097,2706486.581,1732151.412,1
NM,2098,2716909.654,1738822.179,1
NM,2099,2729028.507,1746578.245,1
NM,2100,2738794.566,1752828.523,1
CO,2018,23330.01134,13531.40657,1
CO,2019,60298.47878,34973.11769,1
CO,2020,85874.04628,49806.94684,1
CO,2021,125320.2955,72685.77141,1
CO,2022,159980.3997,92788.6318,1
CO,2023,199216.3392,115545.4768,1
CO,2024,220191.5972,127711.1264,1
CO,2025,263956.5101,153094.7759,1
CO,2026,296296.0296,171851.6972,1
CO,2027,346969.1631,201242.1146,1
CO,2028,382074.6629,221603.3045,1
CO,2029,431522.3614,250282.9696,1
CO,2030,472603.5607,274110.0652,1
CO,2031,527974.3785,306225.1395,1
CO,2032,576095.7006,334135.5063,1
CO,2033,620560.4454,359925.0583,1
CO,2034,660090.3272,382852.3898,1
CO,2035,717772.008,416307.7646,1
CO,2036,791173.0352,458880.3604,1
CO,2037,877113.3774,508725.7589,1
CO,2038,919549.972,533338.9837,1
CO,2039,975034.0474,565519.7475,1
CO,2040,1043615.01,605296.7061,1
CO,2041,1129295.456,654991.3648,1
CO,2042,1243665.839,721326.1868,1
CO,2043,1365021.02,791712.1918,1
CO,2044,1470036.872,852621.3857,1
CO,2045,1613523.002,935843.341,1
CO,2046,1767464.666,1025129.506,1
CO,2047,1942814.935,1126832.662,1
CO,2048,2185304.926,1267476.857,1
CO,2049,2363641.782,1370912.234,1
CO,2050,2553225.467,1480870.771,1
CO,2051,2761539.746,1601693.053,1
CO,2052,2952096.759,1712216.12,1
CO,2053,3183688.774,1846539.489,1
CO,2054,3461900.077,2007902.044,1
CO,2055,3718176.354,2156542.285,1
CO,2056,3916381.95,2271501.531,1
CO,2057,4129771.266,2395267.334,1
CO,2058,4347037.582,2521281.797,1
CO,2059,4564588.622,2647461.401,1
CO,2060,4835975.101,2804865.559,1
CO,2061,5100562.481,2958326.239,1
CO,2062,5362109.889,3110023.735,1
CO,2063,5555945.217,3222448.226,1
CO,2064,5825164.892,3378595.637,1
CO,2065,6060485.414,3515081.54,1
